epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.18815003709159484,0.9193967758710349,0.029728396596120938,0.9953271028037384
2,0.013550776095429727,0.9968798751950078,0.024784178007394075,0.9953271028037384
3,0.0018056395048976007,1.0,0.024048365735714988,0.9953271028037384
4,0.0011141211937435648,1.0,0.02382020162310385,0.9953271028037384
